Height,Weight
68.66359393,184.2627962
72.39432346,201.41093
61.12182863,152.7911301
76.29418413,233.5038113
70.72527874,193.5392521
72.13199022,212.1572757
72.27855615,196.7090246
68.85335437,210.8690842
71.19658688,191.6838425
67.7782298,190.7307931
69.66711517,192.5588995
65.81997755,172.746365
67.45971531,177.4825249
66.14913196,149.173566
67.12150305,167.1915272
63.70326374,152.5711781
66.67560706,183.4383373
70.29338742,189.2492063
65.91808694,174.7199581
67.67141355,174.7245343
69.33419779,199.9838909
71.14104788,211.8160165
67.90180866,170.8467603
69.65975352,209.5204246
67.11787407,178.2665434
68.07461976,176.9774255
70.77216453,204.4395403
66.62775023,160.1173714
69.54951057,199.1938148
69.24373223,186.434168
71.28884387,190.0779984
64.23730294,135.1717924
64.67107555,160.1885313
70.67820774,205.8172958
67.36755359,170.4779465
70.66886319,198.0235635
64.84152823,161.1930514
71.7967672,209.3793102
68.89701917,196.1362692
67.88884253,169.2502309
68.88636675,197.6422437
68.60571056,187.2913919
70.18535205,197.8845071
73.07418054,208.0580433
69.99428992,212.0569807
63.67258315,161.0131458
69.52599428,161.9709376
66.90121174,168.8635485
69.00738999,170.1715714
71.09427331,188.6813886
71.06410538,200.6841596
70.4775913,200.2479962
70.61624345,198.3877525
70.34105811,206.2354701
67.09758575,193.9551074
68.19853732,176.4568284
67.65084421,167.8641366
68.27535973,176.1790688
71.57119416,176.3766428
68.99710986,186.635313
70.18354989,201.0719181
67.41824071,166.5421432
70.85092011,185.3515329
65.71817875,155.1755428
71.42394644,195.3649152
69.1146318,188.7172726
72.08851042,209.5324294
66.26282004,162.7795834
65.19475139,154.7416927
70.47650533,197.0291787
66.94445374,177.0260878
71.61500072,208.6718719
72.77187483,211.164232
69.07774056,188.5061787
66.62273938,166.6317495
69.26513962,172.3003905
69.21277722,188.9476254
66.36754046,166.4018862
69.91563736,219.3679167
70.52322452,207.5328385
68.19608778,189.8749292
73.27818363,202.2790555
69.2844188,189.9362491
70.32711641,192.4971609
67.72474924,172.1527722
