"","research","marketing","morale","sales"
"1",8658129,9599349,3.48,35280673
"2",7336851,9985897,3.54,34499438
"3",7266826,9154403,3.02,32583565
"4",7342228,9154407,3.6,32652824
"5",7704961,9333353,3.77,33302130
"6",9532396,9316981,3.51,36026728
"7",11048285,10315333,3.49,39894235
"8",11538895,10841171,3.64,42470959
"9",10898512,11267511,3.56,42305104
"10",11999917,12007685,3.52,45641437
"11",11614575,12386803,3.85,46178673
"12",11903177,11809804,3.63,44815152
"13",13143400,10938022,3.47,44920666
"14",14799343,11517640,3.45,46952184
"15",16305125,11696017,3.52,50529330
"16",16874298,11199709,3.25,48943847
"17",17383658,11247109,3.75,50558613
"18",19162991,11144234,3.65,52861432
"19",21077924,10218643,3.88,52981052
"20",21445865,10025773,3.87,52385366
"21",19575175,11862200,3.81,55106111
"22",18173368,10732816,3.94,51045419
"23",17924322,8575094,3.73,45848416
"24",17354335,8966818,3.44,45910229
"25",17832312,8947927,3.8,47711728
"26",17324840,6679047,3.77,39783106
"27",17859541,6400000,3.09,39101748
"28",17318979,8316214,3.15,43744755
"29",16423292,10030287,3.59,44860224
"30",16518109,10971862,3.9,48310599
"31",16013718,12025580,3.74,50581309
"32",15393320,12912311,3.7,49956932
"33",15538788,13038265,3.56,51769605
"34",14713910,14050788,3.65,55761796
"35",13329632,15482766,3.74,57768658
"36",12575134,16681805,4.18,56204710
"37",13437183,16696912,4.05,58301763
"38",14206790,17333605,3.85,61914646
"39",15534051,17075034,3.41,63096667
"40",16811859,17401644,3.93,62622100
"41",17956945,17125412,3.69,63296446
"42",18136290,15772662,3.75,61736597
"43",17449970,16812131,4.23,63340531
"44",18258859,17744682,3.43,68803403
"45",19072388,17870778,3.93,68389932
"46",21709028,18043404,3.89,70654482
"47",23244091,18323284,3.87,78781831
"48",22928295,18652100,4.23,74993423
"49",21087897,18579014,3.87,76064712
"50",19144425,19915339,4.01,69839276
"51",19791301,20315675,3.76,78029045
"52",20923586,19605326,3.93,76224208
"53",21177699,17645810,3.6,72949666
"54",21384791,16877072,4.01,65614452
"55",21399046,19212788,4.13,73375779
"56",21366066,21706679,4.16,84595417
"57",19605701,23040749,4.21,80702894
"58",18732213,22507224,4.26,75361716
"59",17571195,19024708,3.7,68282737
"60",17868517,16426112,3.97,60485324
"61",15124894,16538158,4.04,58956699
"62",13471749,17956662,3.85,58911724
"63",14713471,19308468,3.92,63582153
"64",15741964,21494517,4.01,71284384
"65",15703957,21381797,4.24,69535675
"66",17445670,21888557,4.28,86698474
"67",16281093,22329761,4.06,72275005
"68",14126267,23337524,4.24,75029171
"69",15234280,24862240,4.24,77105635
"70",15909714,25125510,3.81,85555390
"71",17670539,25006479,4.16,78999583
"72",18518303,25568901,4.44,84840047
"73",19024830,25210013,4.13,79135111
"74",19923419,25292205,4.31,90910322
"75",20361496,26408534,4.37,84855993
"76",19790853,30177652,4.06,90906537
"77",19882856,32579735,4.29,109893839
"78",21317234,32606028,4.23,99406063
"79",22516166,31452744,4.54,102085129
"80",22493900,32034010,4.09,98151643
"81",21852225,30496100,4.11,98787464
"82",20657794,29163754,4.66,100482501
"83",20678636,28446087,3.7,97318962
"84",19968835,26891519,4.48,90257581
"85",21251271,25396029,4.45,94420697
"86",23501618,25380322,4.42,91513298
"87",22294061,24254486,4.27,88367847
"88",20646426,23266813,4.43,81941066
"89",18490168,22695730,4.37,79434147
"90",16678862,23487659,4.31,80368750
"91",17141698,24181126,4.48,85998995
"92",18552746,24414439,4.41,82179689
"93",20441008,25527245,4.19,92706778
"94",20929003,24688495,4.53,96133862
"95",19713330,25985210,4.49,87615801
"96",20321755,26882487,4.65,90716313
"97",21736877,26579220,4.25,92852737
"98",22403121,26627326,4.36,90531616
"99",21577461,30016913,4.72,100280084
"100",22559747,30158742,4,102160501
"101",22466636,30324181,4.29,99395736
"102",21943235,30944774,4.25,109561729
"103",21947249,32039185,4.53,99748479
"104",21915766,33048569,4.54,111815478
"105",20929675,33664771,4.52,107023061
"106",20335008,33479515,4.55,103395192
"107",20234796,35799081,4.64,112771903
"108",20499069,36915425,4.57,116959148
"109",20479966,35137374,4.48,117914110
"110",20642256,33249808,4.44,110357567
"111",21106529,32831037,4.32,98722443
"112",21369369,33318683,4.46,115424927
"113",18430929,34641932,4.75,103032183
"114",18171453,35662750,4.5,105836625
"115",18847030,36552090,4.39,112388195
"116",18772122,37765418,4.52,110075129
"117",19289412,39225406,4.48,117339331
"118",19019422,39760647,4.85,123691001
"119",19821211,37978337,4.57,116920774
"120",20645056,35322598,4.57,122397648
"121",20715441,34250009,4.83,109625522
"122",20612693,34671403,4.51,93849525
"123",21788385,34952945,4.95,116287785
"124",22857526,34346119,4.47,110568851
"125",23863527,33128476,4.63,104159004
"126",24944050,33183966,4.26,108626677
"127",25822623,33192594,4.46,112243463
"128",23938455,32231468,5.19,119901705
"129",24234236,34329510,4.4,127063967
"130",24507136,35512536,4.69,111559436
"131",23792641,35020196,4.35,127836866
"132",24400552,36453634,4.97,130583817
"133",26193784,37752907,4.81,130067090
"134",25666570,38470391,5.12,132601837
"135",25244666,38843606,4.8,120659888
"136",24764134,38217722,5.28,112708059
"137",23825683,35462043,5.08,128498522
"138",23123424,34126950,4.92,110321974
"139",21780613,34545877,5.06,109258969
"140",19472462,35297918,4.75,112344545
"141",18832019,34441388,5.02,100889360
"142",22363975,34240904,5.16,112378068
"143",23014922,34095572,5.02,118028670
"144",22470090,33175328,5.1,101567605
"145",22357661,32082536,4.7,114608595
"146",22970882,31873590,4.73,103928939
"147",22377237,31263830,4.81,111882034
"148",20838154,30794120,4.96,98405739
"149",19791735,31642787,5.17,102675008
"150",18328739,33055956,4.85,99725233
"151",16100000,33774573,4.68,110186726
"152",16300067,34186587,4.96,100765717
"153",18797850,35197925,4.71,111094693
"154",21334674,34281767,4.96,117429477
"155",24082306,32853527,4.92,120508751
"156",24617033,34509965,5.14,121069007
"157",25147018,36387297,4.68,115826373
"158",25920316,37041871,4.81,127377531
"159",26878670,38710866,4.77,116705960
"160",28193291,38372035,4.91,129343966
"161",28571591,37276605,4.79,111161186
"162",27766134,38151736,4.99,131701648
"163",27961936,40505050,5.29,137168750
"164",27639369,40660089,5.35,143872830
"165",27197360,40574602,5.09,133692387
"166",25527067,40181614,5.36,118704716
"167",26610601,39494434,4.68,121219692
"168",29054086,40188093,5.45,128520386
